,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_cols,unrolling_factor_row_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
64,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,4,32,1,24.058,37.098,13.0401,0.832764,1.3152,2.14797,39.246,222509,1.19844e+06,127548,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.28565e+06
65,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,4,32,8,25.0951,38.1469,13.0518,0.868661,1.3152,2.18386,40.3308,213314,1.1994e+06,118920,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.2866e+06
66,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,16,8,1,9.73365,22.7737,13.0401,0.337326,1.3152,1.65253,24.4262,549313,1.19844e+06,371622,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.28565e+06
67,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,16,8,8,9.89941,22.9512,13.0518,0.343069,1.3152,1.65827,24.6095,540118,1.1994e+06,362994,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.2866e+06
68,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,16,16,1,16.6777,29.7178,13.0401,0.578027,1.3152,1.89323,31.611,320569,1.19844e+06,208910,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.28565e+06
69,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,16,16,8,17.1703,30.2222,13.0518,0.595096,1.3152,1.9103,32.1325,311374,1.1994e+06,200282,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.2866e+06
70,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,16,32,1,24.058,37.098,13.0401,0.832764,1.3152,2.14797,39.246,222509,1.19844e+06,127548,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.28565e+06
71,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,16,32,8,25.0951,38.1469,13.0518,0.868661,1.3152,2.18386,40.3308,213314,1.1994e+06,118920,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.2866e+06
72,"['A', 'I']",10,256,32,64,spad,block,True,1,4,8,1,4.12418,14.1956,10.0714,0.105369,1.48913,1.5945,15.7901,1249776,830092,532500,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,926351
73,"['A', 'I']",10,256,32,64,spad,block,True,1,4,8,8,4.15491,14.2381,10.0832,0.106151,1.48913,1.59528,15.8334,1240580,831049,523685,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,927308
