,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
62,"['A', 'I']",8,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.36102,3.06817,0.707149,2.4291,1.32443,3.75352,6.8217,1781858,67572.9,979332,95386.9,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162960
63,"['A', 'I']",8,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.44041,4.18972,0.749308,2.19802,0.406924,2.60494,6.79466,1205187,72478.6,531883,35244.4,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,107723
64,"['A', 'I']",8,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.4408,4.1901,0.749308,2.64423,0.709466,3.35369,7.5438,1205056,72478.6,531751,56602.5,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,129081
65,"['A', 'I']",8,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.45461,4.16176,0.707149,3.28164,1.32443,4.60606,8.76783,1200738,67572.9,527235,95386.9,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162960
66,"['A', 'I']",8,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.33821,6.04536,0.707149,3.26833,0.406924,3.67526,9.72062,769158,67572.9,192517,35244.4,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,102817
67,"['A', 'I']",8,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.3382,6.04535,0.707149,3.92662,0.709466,4.63609,10.6814,769161,67572.9,192522,56602.5,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,124175
68,"['A', 'I']",8,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.36768,6.07482,0.707149,4.89533,1.32443,6.21976,12.2946,765306,67572.9,188563,95386.9,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162960
69,"['A', 'I']",8,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.90892,6.66059,0.751674,3.61703,0.406924,4.02396,10.6845,695007,72670,134363,35244.4,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,107914
70,"['A', 'I']",8,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.90905,6.61856,0.709516,4.34568,0.709466,5.05514,11.6737,694991,67764.3,134363,56602.5,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,124367
71,"['A', 'I']",8,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.93145,6.6386,0.707149,5.40829,1.32443,6.73272,13.3713,692719,67572.9,132097,95386.9,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162960
